antecedents	consequents	support	confidence	lift
电子产品	食品	0.22116884444444446	0.45684614794242473	0.9427222761631793
食品	电子产品	0.22116884444444446	0.45639171390654626	0.9427222761631793
电子产品	服装	0.2224399111111111	0.459471662001167	0.9427719048478502
服装	电子产品	0.2224399111111111	0.45641574019830644	0.9427719048478503
家居	食品	0.11345631111111111	0.4519629962021374	0.9326456760994878
家居	服装	0.11417433333333334	0.45482329962393175	0.9332341121715348
家居	电子产品	0.11336968888888889	0.451617929112349	0.9328615509791538
办公	服装	0.06191888888888889	0.4527399512805115	0.9289593713145395
服装	食品	0.222691	0.4569309396537699	0.9428972476179658
食品	服装	0.222691	0.45953274936557476	0.9428972476179658
运动户外	服装	0.0601836	0.45235302704802727	0.9281654566384915
母婴	服装	0.0610008	0.4525016336001382	0.9284703766015557
汽车用品	食品	0.0590658	0.45015707460675464	0.9289190768392351
汽车用品	服装	0.059346355555555556	0.45229526740450837	0.9280469418885143
玩具	服装	0.09086446666666667	0.45365420150655894	0.9308352855403795
玩具	电子产品	0.09026644444444444	0.45066848768841	0.9309003857060204
玩具	食品	0.09034282222222222	0.45104981496695695	0.9307612861435779
