antecedents	consequents	support	confidence	lift
电子产品	服装	0.2224372888888889	0.4593580837148681	0.9427980510643845
服装	电子产品	0.2224372888888889	0.4565358701266763	0.9427980510643845
食品	电子产品	0.2212706222222222	0.45658367491028684	0.9428967733330358
电子产品	食品	0.2212706222222222	0.456948785494183	0.9428967733330357
食品	服装	0.2226040148148148	0.45933508078563456	0.9427508392755448
服装	食品	0.2226040148148148	0.45687806259829594	0.9427508392755449
家居	食品	0.1136172296296296	0.4523470556513071	0.9334012754603245
家居	电子产品	0.1134786	0.4517951261156777	0.9330078801125938
家居	服装	0.1141931185185185	0.45463985617214697	0.9331142425292616
玩具	服装	0.0908891259259259	0.45378951721581223	0.9313689855299875
玩具	食品	0.0903374814814814	0.451035277216593	0.9306944695934872
玩具	电子产品	0.0903066	0.4508810927371012	0.931120298118893
汽车用品	服装	0.0592982222222222	0.4521832454744311	0.9280722331249641
办公	服装	0.0618598518518518	0.45237568631007036	0.9284672035221727
母婴	服装	0.0609797777777777	0.45226485127913035	0.9282397229250864
运动户外	服装	0.0601717703703703	0.45244664172428983	0.9286128341937778
